JoinField,mean_turnout_1r,std_turnout_1r,cv_turnout_1r,n_cycles_1r,mean_turnout_ro,std_turnout_ro,cv_turnout_ro,n_cycles_ro
CITY OF CHICAGO:Ward 45 Precinct 16,516.3376850239825,64.27959794374517,0.1244913935359174,3,535.0076779096245,75.76152566860219,0.14160829609888348,3
CITY OF CHICAGO:Ward 45 Precinct 17,554.4623381195773,63.2797539911225,0.11412813754984988,3,581.1386142050993,146.9855716901498,0.2529268716572922,3
CITY OF CHICAGO:Ward 45 Precinct 18,558.1058823529412,76.84801277504872,0.13769432504646262,3,557.2598039215686,123.1773022449779,0.22104106805865087,3
CITY OF CHICAGO:Ward 45 Precinct 19,364.6666666666667,16.19670748434179,0.0444151027906996,3,366.6666666666667,66.21429855653032,0.18058445060871905,3
CITY OF CHICAGO:Ward 45 Precinct 20,501.72431098605074,35.68229488046463,0.07111932609033308,3,532.8738888623783,92.0831882514599,0.17280484215138867,3
CITY OF CHICAGO:Ward 45 Precinct 21,422.30940988835727,43.55258429272038,0.10312956157958698,3,447.46411483253587,91.46108305256173,0.20439869929411253,3
CITY OF CHICAGO:Ward 45 Precinct 22,503.78564437209843,41.21969366139674,0.08181990519553527,3,511.64406783865337,90.28819176531836,0.17646680073263488,3
CITY OF CHICAGO:Ward 45 Precinct 23,545.053950441759,60.37711906810187,0.11077273913741387,3,561.1125012694221,92.06598889870615,0.1640775935136402,3
CITY OF CHICAGO:Ward 45 Precinct 24,417.03749196690364,61.67174583777944,0.1478805791462839,3,444.34111204830566,92.14113939876383,0.20736577575281148,3
CITY OF CHICAGO:Ward 45 Precinct 25,619.5727395175974,56.36096663685125,0.0909674732957654,3,647.8887255836017,123.8031902163557,0.19108711932722233,3
CITY OF CHICAGO:Ward 45 Precinct 26,536.3651567029369,43.62540106163944,0.08133526295743543,3,568.6157892353896,86.99415941768346,0.15299286629846034,3
CITY OF CHICAGO:Ward 45 Precinct 27,561.1445782296216,90.33239824746032,0.16097883103932636,3,590.21043530696,118.5720829863141,0.2008979778960473,3
CITY OF CHICAGO:Ward 45 Precinct 28,541.4511473986269,66.429193391409,0.12268732592139571,3,573.1749838479559,97.70693199001735,0.17046614863417647,3
CITY OF CHICAGO:Ward 45 Precinct 29,481.66074524448624,73.31237654149291,0.15220749721732102,3,527.7937337997295,50.57526067941417,0.09582391271550199,3
