JoinField,jurisdiction,township,total_votes,pred_Fine,pred_Biss,pred_Abughazaleh,pred_Simmons,pred_Amiwala,pred_Andrew,pred_Huynh,actual_Fine,actual_Biss,actual_Abughazaleh,actual_Simmons,actual_Amiwala,actual_Andrew,actual_Huynh,err_Fine,err_Biss,err_Abughazaleh,err_Simmons,err_Amiwala,err_Andrew,err_Huynh
CITY OF CHICAGO:Ward 49 Precinct 03,CITY OF CHICAGO,,625.0,14.514255388837483,27.561563227045223,26.11740119654838,15.72315552463563,7.351860748760933,4.843578992256573,2.8229596521964453,7.84,28.000000000000004,37.6,14.719999999999999,6.5600000000000005,4.0,1.28,6.674255388837484,-0.43843677295478045,-11.482598803451623,1.0031555246356305,0.7918607487609322,0.8435789922565728,1.5429596521964453
CITY OF CHICAGO:Ward 49 Precinct 08,CITY OF CHICAGO,,926.0,13.9479751930678,26.45213543032271,28.479979122395648,16.21264880091943,7.508069935911189,3.3845089120727243,2.9494573355911475,5.075593952483802,19.11447084233261,49.892008639308855,16.738660907127432,6.8034557235421165,1.187904967602592,1.187904967602592,8.872381240583998,7.337664587990098,-21.412029516913208,-0.5260121062080039,0.7046142123690728,2.1966039444701324,1.7615523679885556
CITY OF CHICAGO:Ward 49 Precinct 09,CITY OF CHICAGO,,708.0,13.890142563718266,26.339175102298736,28.720485015210937,16.264312534617325,7.523573483417236,3.234850140315262,2.9622358907029134,4.096045197740112,16.38418079096045,51.69491525423729,18.07909604519774,6.779661016949152,2.401129943502825,0.5649717514124294,9.794097365978153,9.954994311338286,-22.97443023902635,-1.8147835105804155,0.7439124664680836,0.833720196812437,2.397264139290484
CITY OF CHICAGO:Ward 49 Precinct 10,CITY OF CHICAGO,,512.0,14.410936835993274,26.7254076095748,27.431101594633933,14.512778719440483,8.3719508690855,5.067958128779189,2.4146409727734817,9.9609375,29.296875,35.7421875,16.40625,5.859375,2.34375,0.390625,4.449999335993274,-2.5714673904252017,-8.311085905366067,-1.8934712805595169,2.5125758690855005,2.724208128779189,2.0240159727734817
CITY OF CHICAGO:Ward 49 Precinct 11,CITY OF CHICAGO,,511.0,14.07898251952542,26.70901820021869,27.9304453907047,16.101511368121535,7.47267806763919,3.722400066049633,2.9197391180214947,8.414872798434441,32.093933463796475,37.96477495107632,13.307240704500977,4.305283757338552,3.131115459882583,0.7827788649706457,5.664109721090979,-5.384915263577785,-10.03432956037162,2.7942706636205585,3.1673943103006383,0.5912846061670498,2.136960253050849
CITY OF CHICAGO:Ward 49 Precinct 12,CITY OF CHICAGO,,393.0,14.10582930002182,26.761720704644954,27.81675329926416,16.07922061088589,7.465823283797791,3.791935883569962,2.913491648096111,8.142493638676845,30.279898218829516,34.35114503816794,18.829516539440203,5.089058524173027,2.035623409669211,1.2722646310432568,5.963335661344976,-3.5181775141845613,-6.534391738903782,-2.750295928554312,2.3767647596247636,1.756312473900751,1.6412270170528542
CITY OF CHICAGO:Ward 49 Precinct 13,CITY OF CHICAGO,,610.0,13.974896440796822,26.505489561477948,28.36589936297984,16.19300511138855,7.499807708878281,3.452553558040404,2.943122986718839,6.557377049180328,27.377049180327866,40.81967213114754,16.229508196721312,5.901639344262295,2.459016393442623,0.6557377049180327,7.417519391616494,-0.8715596188499184,-12.453772768167703,-0.03650308533276103,1.5981683646159857,0.9935371645977811,2.2873852818008062
CITY OF CHICAGO:Ward 49 Precinct 14,CITY OF CHICAGO,,746.0,14.118390709415449,26.78636528975868,27.76819955524936,16.06785654914323,7.460273092276818,3.8224672377656472,2.911222296671484,6.970509383378016,26.541554959785525,43.83378016085791,15.013404825737265,4.6916890080428955,1.742627345844504,1.2064343163538873,7.1478813260374325,0.24481032997315566,-16.065580605608552,1.0544517234059647,2.7685840842339227,2.079839891921143,1.7047879803175965
CITY OF CHICAGO:Ward 49 Precinct 15,CITY OF CHICAGO,,703.0,14.063734016532916,26.67914058951345,27.99524433475594,16.11442143401491,7.4763013858458915,3.682620264715171,2.923312704902395,6.970128022759601,20.34139402560455,45.80369843527738,16.927453769559033,7.396870554765292,1.1379800853485065,1.422475106685633,7.0936059937733145,6.337746563908901,-17.80845410052144,-0.813032335544122,0.07943083108059934,2.544640179366665,1.5008375982167619
CITY OF CHICAGO:Ward 50 Precinct 07,CITY OF CHICAGO,,506.0,15.11553585889268,28.101033362593164,25.22330568242307,13.948281346676607,7.897212951096314,6.344995946811357,2.3044095817874743,12.055335968379447,28.85375494071146,24.90118577075099,20.948616600790515,5.533596837944664,6.719367588932807,0.9881422924901186,3.060199890513232,-0.7527215781182974,0.32211991167208254,-7.000335254113908,2.36361611315165,-0.37437164212144936,1.3162672892973557
